ID, Type, Context, Modification, Name, Occurrences 
1,BEHAVIOUR,CONDITION,INSERTED,falsey,4041
2,RESERVED,STATEMENT,UPDATED,var,2208
3,RESERVED,STATEMENT,INSERTED,var,1644
4,BEHAVIOUR,CONDITION,REMOVED,falsey,1487
5,RESERVED,CONDITION,INSERTED,sheq,1471
6,RESERVED,STATEMENT,INSERTED,return,1123
7,RESERVED,CONDITION,INSERTED,typeof,1075
8,RESERVED,STATEMENT,UPDATED,return,1002
9,RESERVED,ASSIGNMENT_RHS,INSERTED,true,673
10,RESERVED,STATEMENT,REMOVED,var,610
11,RESERVED,CONDITION,REMOVED,sheq,562
12,RESERVED,STATEMENT,REMOVED,return,532
13,RESERVED,CONDITION,INSERTED,eq,469
14,RESERVED,ASSIGNMENT_RHS,INSERTED,false,429
15,RESERVED,METHOD_CALL,INSERTED,this,414
16,RESERVED,CONDITION,REMOVED,typeof,408
17,RESERVED,ASSIGNMENT_LHS,INSERTED,this,373
18,RESERVED,STATEMENT,INSERTED,new,364
19,RESERVED,ARGUMENT,INSERTED,this,305
20,BEHAVIOUR,CONDITION,UPDATED,falsey,275
21,METHOD,METHOD_CALL,INSERTED,replace,269
22,RESERVED,ASSIGNMENT_RHS,REMOVED,true,267
23,RESERVED,CONDITION,INSERTED,null,266
24,RESERVED,CONDITION,REMOVED,eq,258
25,METHOD,METHOD_CALL,INSERTED,test,255
26,RESERVED,STATEMENT,UPDATED,new,249
27,FIELD,CONDITION,INSERTED,length,244
28,CONVENTION,ARGUMENT,INSERTED,error,226
29,RESERVED,ASSIGNMENT_RHS,INSERTED,null,226
30,RESERVED,ARGUMENT,INSERTED,null,221
31,METHOD,METHOD_CALL,INSERTED,indexOf,217
32,CONVENTION,METHOD_CALL,INSERTED,callback,215
33,RESERVED,CONDITION,INSERTED,undefined,195
34,RESERVED,ASSIGNMENT_RHS,INSERTED,this,186
35,CONVENTION,CONDITION,INSERTED,error,182
36,RESERVED,ARGUMENT,INSERTED,true,173
37,RESERVED,CONDITION,INSERTED,this,173
38,RESERVED,ASSIGNMENT_RHS,REMOVED,false,172
39,RESERVED,STATEMENT,INSERTED,try,170
40,RESERVED,ARGUMENT,REMOVED,this,164
41,CONVENTION,EXCEPTION_CATCH,INSERTED,error,157
42,FIELD,ASSIGNMENT_LHS,INSERTED,prototype,156
43,RESERVED,METHOD_CALL,REMOVED,this,154
44,CONVENTION,METHOD_CALL,INSERTED,error,148
45,RESERVED,CONDITION,INSERTED,false,144
46,RESERVED,STATEMENT,REMOVED,new,138
47,RESERVED,CONDITION,UPDATED,sheq,137
48,RESERVED,ARGUMENT,REMOVED,null,116
49,METHOD,METHOD_CALL,INSERTED,match,114
50,CONVENTION,ARGUMENT,REMOVED,error,111
51,RESERVED,ASSIGNMENT_LHS,REMOVED,this,108
52,RESERVED,CONDITION,REMOVED,null,106
53,METHOD,METHOD_CALL,INSERTED,push,103
54,METHOD,METHOD_CALL,INSERTED,split,103
55,METHOD,METHOD_CALL,INSERTED,toString,100
56,CONVENTION,ASSIGNMENT_LHS,INSERTED,error,100
57,CLASS,METHOD_CALL,INSERTED,Object,96
58,METHOD,METHOD_CALL,INSERTED,call,94
59,METHOD,METHOD_CALL,INSERTED,slice,91
60,CONVENTION,ARGUMENT,INSERTED,callback,91
