ID,Signature,Commits,Avg Modified Statements,BCTs,Projects
1,RESERVED:ASSIGNMENT_RHS:INSERTED:true:1,125,1,1,35
2,RESERVED:CONDITION:INSERTED:sheq:1,114,1,1,42
3,RESERVED:METHOD_CALL:INSERTED:callback:1<br>RESERVED:STATEMENT:INSERTED:return:1<br>RESERVED:CONDITION:INSERTED:falsey:1,13,2,3,5
4,RESERVED:ARGUMENT:INSERTED:callback:1,10,1,1,6
5,RESERVED:CONDITION:INSERTED:falsey:1,655,1,1,67
6,RESERVED:METHOD_CALL:INSERTED:error:2,5,2,1,3
7,RESERVED:ASSIGNMENT_RHS:INSERTED:false:1,61,1,1,31
8,RESERVED:CONDITION:INSERTED:falsey:2,160,2,1,46
9,RESERVED:ARGUMENT:REMOVED:this:1,40,1,1,22
10,RESERVED:STATEMENT:INSERTED:var:1<br>RESERVED:CONDITION:INSERTED:falsey:1,66,3,2,29
11,METHOD:METHOD_CALL:INSERTED:replace:1,52,1,1,21
12,RESERVED:METHOD_CALL:INSERTED:error:1,18,1,1,9
13,RESERVED:CONDITION:REMOVED:falsey:1,147,2,1,46
14,RESERVED:CONDITION:INSERTED:falsey:1<br>RESERVED:STATEMENT:UPDATED:var:1,113,2,2,39
15,RESERVED:CONDITION:INSERTED:sheq:1<br>METHOD:METHOD_CALL:INSERTED:charAt:1,6,1,2,3
16,RESERVED:ASSIGNMENT_RHS:INSERTED:this:1,13,1,1,10
17,RESERVED:ASSIGNMENT_RHS:INSERTED:true:2,32,2,1,17
18,RESERVED:ASSIGNMENT_LHS:INSERTED:this:1,48,2,1,23
19,METHOD:METHOD_CALL:INSERTED:stringify:1<br>CLASS:METHOD_CALL:INSERTED:JSON:1,7,1,2,6
20,RESERVED:CONDITION:REMOVED:sheq:1,39,1,1,18
21,FIELD:ASSIGNMENT_RHS:INSERTED:prototype:1<br>FIELD:ASSIGNMENT_LHS:INSERTED:prototype:1,5,1,2,5
22,RESERVED:CONDITION:INSERTED:sheq:1<br>RESERVED:STATEMENT:INSERTED:new:1<br>RESERVED:CONDITION:INSERTED:typeof:1,11,2,3,8
23,RESERVED:STATEMENT:INSERTED:var:1<br>RESERVED:CONDITION:INSERTED:falsey:1<br>RESERVED:STATEMENT:REMOVED:var:1,9,4,3,7
24,RESERVED:CONDITION:INSERTED:undefined:1<br>RESERVED:CONDITION:INSERTED:typeof:1,28,1,2,16
25,METHOD:METHOD_CALL:INSERTED:filter:1,16,3,1,11
26,RESERVED:CONDITION:INSERTED:falsey:1<br>RESERVED:CONDITION:REMOVED:falsey:1,76,2,2,25
27,FIELD:EXPRESSION:INSERTED:length:1,5,1,1,5
28,RESERVED:ASSIGNMENT_LHS:INSERTED:this:1<br>RESERVED:ASSIGNMENT_RHS:INSERTED:true:1,10,1,2,6
29,RESERVED:ASSIGNMENT_RHS:INSERTED:true:1<br>RESERVED:STATEMENT:UPDATED:new:1<br>RESERVED:STATEMENT:UPDATED:var:1,9,1,3,5
30,RESERVED:ASSIGNMENT_LHS:INSERTED:this:2,5,2,1,3
31,RESERVED:ASSIGNMENT_RHS:INSERTED:null:1<br>RESERVED:STATEMENT:UPDATED:var:1,24,1,2,6
32,RESERVED:STATEMENT:INSERTED:var:1<br>METHOD:METHOD_CALL:INSERTED:replace:1,5,2,2,5
33,METHOD:METHOD_CALL:INSERTED:replace:2,6,1,1,5
34,RESERVED:CONDITION:INSERTED:sheq:2,17,3,1,11
35,RESERVED:CONDITION:INSERTED:typeof:1,13,1,1,10
36,RESERVED:STATEMENT:INSERTED:return:1<br>RESERVED:CONDITION:INSERTED:falsey:2,15,2,2,11
37,RESERVED:STATEMENT:INSERTED:return:1<br>RESERVED:CONDITION:INSERTED:falsey:1,85,2,2,36
38,RESERVED:STATEMENT:INSERTED:var:1<br>RESERVED:ASSIGNMENT_RHS:INSERTED:true:1,5,2,2,4
39,METHOD:METHOD_CALL:REMOVED:stringify:1<br>CLASS:METHOD_CALL:REMOVED:JSON:1,9,1,2,6
40,RESERVED:CONDITION:INSERTED:falsey:1<br>RESERVED:STATEMENT:UPDATED:return:1,44,1,2,20
41,RESERVED:ARGUMENT:INSERTED:true:1<br>RESERVED:STATEMENT:UPDATED:var:1,7,2,2,6
42,RESERVED:ARGUMENT:INSERTED:true:1,25,1,1,17
43,RESERVED:ASSIGNMENT_RHS:REMOVED:false:1,22,1,1,16
44,RESERVED:CONDITION:INSERTED:sheq:1<br>RESERVED:STATEMENT:INSERTED:return:1,24,2,2,15
45,RESERVED:CONDITION:INSERTED:falsey:1<br>RESERVED:STATEMENT:REMOVED:var:1,6,3,2,6
46,RESERVED:CONDITION:INSERTED:sheq:1<br>RESERVED:CONDITION:INSERTED:typeof:1,76,1,2,36
47,RESERVED:STATEMENT:INSERTED:var:1<br>RESERVED:CONDITION:INSERTED:falsey:1<br>RESERVED:STATEMENT:UPDATED:var:1,16,3,3,13
48,METHOD:METHOD_CALL:INSERTED:bind:1,14,2,1,11
